,product_name,image,description,price
109,MARLBOROUGH SAUVIGNON BLANC,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0022541341654713808.jpg,750ML,HK$129.00
110,NIKKA FROM THE BAR,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029842841654939976.jpg,500ML,HK$659.00
111,NISSIN 桃味波子汽水,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/002423549.jpg,200ML,HK$12.90
112,ORION 茉莉花茶,https://www.aeoncity.com.hk/media/catalog/product/placeholder/default/aeon_place_1.jpeg,500ML,HK$14.90
113,SAHMYOOK  原味豆奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025102121654937720.jpg,190ML,HK$8.90
114,SAHMYOOK  高鈣豆豆奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025106751654937726.jpg,190ML,HK$8.90
115,SAHMYOOK 黑芝麻豆奶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025106671654937725.jpg,190ML,HK$8.90
116,SOMERSBY 蘋果酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027922651654939018.jpg,330ML,HK$16.90
117,SUNTORY BOSS牛奶咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027208861654938718.jpg,500ML,HK$16.90
118,SUNTORY CHU-HI有汽酒雜果味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0201321631654941319.jpg,350ml,HK$13.90
119,SUNTORY 優質麥芽生啤大6罐,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027905661654939002.jpg,6X500ML,HK$99.90
120,SUNTORY 優質麥芽生啤酒6罐,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027905581654939001.jpg,6X350ML,HK$79.90
121,SUNTORY 優質麥芽生啤酒大罐,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0026157481654938307.jpg,500ML,HK$16.50
122,SUNTORY 新多利 西柚鹽味氣酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025682101654938100.jpg,350ML,HK$13.90
123,SUNTORY 新多利立頓萍果茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0023821581654936971.jpg,500ML,HK$19.90
124,TAFU 袋布粉末綠茶,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0025679311654938099.jpg,100G,HK$61.90
125,TAKARA 山梨產桃果汁汽酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0200656781654941196.jpg,350毫升,HK$12.90
126,TAKARA 沖繩菠蘿酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027711601654938900.jpg,720ML,HK$99.00
127,TAKARA 青森產蘋果汁汽酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0200656861654941197.jpg,350毫升,HK$12.90
128,TAKARA松竹梅清酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0029630801654939847.jpg,1pc,HK$89.00
129,TAKARA柚子酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/0/0027162641654938706.jpg,720ML,HK$139.00
130,Topvalu BP CHU-HI 雞尾酒 50%低卡路里 檸檬味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0202998891654941490.jpg,350ML,HK$9.90
131,Topvalu BP CHU-HI 雞尾酒 50%低卡路里 西柚味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0202999051654941491.jpg,350ML,HK$9.90
132,Topvalu BP CHU-HI有汽酒 梅味,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0200843641654941248.jpg,350ML,HK$9.90
133,TOPVALU BP STRONG 檸檬味果酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0200242531654941142.jpg,350毫升,HK$9.90
134,TOPVALU BP STRONG 西柚味果酒,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0200242791654941143.jpg,350毫升,HK$9.90
135,Topvalu BP 威士忌炭酸汽酒 500ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0202047981654941347.jpg,500ml,HK$13.90
136,Topvalu BP 拿鐵風味咖啡,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0201332371654941320.jpg,500ml,HK$11.90
137,Topvalu BP 檸檬汽酒 350ML,https://www.aeoncity.com.hk/media/catalog/product/cache/848ca2b59dfe6b9eb8cdf106fcdb05ca/0/2/0202568971654941441.jpg,350ml,HK$9.90
